"DATASET","NLME_RESULT_ID","NLME_CURVE_ID","CELL_LINE_NAME","SANGER_MODEL_ID","CANCER_TYPE","DRUG_ID","DRUG_NAME","PUTATIVE_TARGET","PATHWAY_NAME","MIN_CONC","MAX_CONC","LN_IC50","AUC","RMSE","Z_SCORE","MAPK_flag","MAPK_status"
"GDSC2",343,15946491,"PFSK-1","SIDM01132","Other Solid Cancers",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.886493,0.91715,0.184427,0.059919,NA,"Non-MAPK"
"GDSC2",343,15946756,"A673","SIDM00848","Ewing's Sarcoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.997333,0.926971,0.080711,0.137857,"MAPK","MAPK"
"GDSC2",343,15947042,"ES5","SIDM00263","Ewing's Sarcoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,4.005787,0.965183,0.015117,0.846959,NA,"Non-MAPK"
"GDSC2",343,15947295,"ES7","SIDM00269","Ewing's Sarcoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,3.069521,0.931105,0.069255,0.188616,"MAPK","MAPK"
"GDSC2",343,15947577,"EW-11","SIDM00203","Ewing's Sarcoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,4.723562,0.967478,0.030108,1.35167,NA,"Non-MAPK"
"GDSC2",343,15947857,"SK-ES-1","SIDM01111","Ewing's Sarcoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.08155,0.879908,0.093245,-0.506084,"MAPK","MAPK"
"GDSC2",343,15948137,"COLO-829","SIDM00909","Melanoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.225481,0.798808,0.110386,-0.404878,"MAPK","MAPK"
"GDSC2",343,15948416,"5637","SIDM00807","Bladder Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.429376,0.867767,0.068644,-0.261507,"MAPK","MAPK"
"GDSC2",343,15948697,"RT4","SIDM01085","Bladder Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.470356,0.88663,0.055742,-0.232692,NA,"Non-MAPK"
"GDSC2",343,15948978,"SW780","SIDM01160","Bladder Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.785441,0.884474,0.045886,-0.011137,NA,"Non-MAPK"
"GDSC2",343,15949259,"TCCSUP","SIDM01190","Bladder Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,4.144621,0.940948,0.109548,0.944582,NA,"Non-MAPK"
"GDSC2",343,15949542,"C-33-A","SIDM00889","Cervical Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.061406,0.852327,0.082538,-0.520249,"MAPK","MAPK"
"GDSC2",343,15949821,"C-4-I","SIDM00905","Cervical Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.648426,0.910779,0.114652,-0.10748,"MAPK","MAPK"
"GDSC2",343,15950103,"ME-180","SIDM00627","Cervical Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,3.806926,0.942712,0.044992,0.707129,NA,"Non-MAPK"
"GDSC2",343,15950383,"42-MG-BA","SIDM00982","Glioblastoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.786374,0.903842,0.108627,-0.010481,NA,"Non-MAPK"
"GDSC2",343,15950663,"8-MG-BA","SIDM00998","Glioblastoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.37432,0.894843,0.100851,-0.30022,NA,"Non-MAPK"
"GDSC2",343,15950944,"A172","SIDM00799","Glioblastoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.902819,0.897335,0.150096,0.071398,NA,"Non-MAPK"
"GDSC2",343,15951225,"GB-1","SIDM00581","Glioblastoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,4.008271,0.921153,0.062481,0.848707,NA,"Non-MAPK"
"GDSC2",343,15951508,"T98G","SIDM01171","Glioblastoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,4.216421,0.96257,0.023876,0.995069,NA,"Non-MAPK"
"GDSC2",343,15951788,"U-118-MG","SIDM01193","Glioma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,3.425115,0.898298,0.109237,0.438655,NA,"Non-MAPK"
"GDSC2",343,15952049,"U-87-MG","SIDM01189","Glioblastoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,3.619314,0.926264,0.097687,0.575208,"MAPK","MAPK"
"GDSC2",343,15952250,"YKG-1","SIDM00315","Glioblastoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,3.477436,0.92821,0.087376,0.475445,"MAPK","MAPK"
"GDSC2",343,15952430,"ChaGo-K-1","SIDM00924","Other Solid Cancers",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,4.447577,0.971996,0.013574,1.157608,"MAPK","MAPK"
"GDSC2",343,15952673,"NCI-H720","SIDM01120","Other Solid Cancers",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,4.408135,0.972766,0.074923,1.129874,NA,"Non-MAPK"
"GDSC2",343,15952952,"Calu-3","SIDM00922","Non-Small Cell Lung Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,4.380245,0.926788,0.064781,1.110263,NA,"Non-MAPK"
"GDSC2",343,15953232,"COR-L23","SIDM00512","Non-Small Cell Lung Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.77341,0.878197,0.140497,-0.019597,"MAPK","MAPK"
"GDSC2",343,15953514,"LK-2","SIDM00548","Squamous Cell Lung Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,3.757651,0.935784,0.062131,0.672481,"MAPK","MAPK"
"GDSC2",343,15953723,"NCI-H1437","SIDM00734","Non-Small Cell Lung Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,1.168376,0.771771,0.081866,-1.14819,"MAPK","MAPK"
"GDSC2",343,15953974,"NCI-H1623","SIDM00747","Non-Small Cell Lung Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.590621,0.874124,0.081815,-0.148126,NA,"Non-MAPK"
"GDSC2",343,15954145,"NCI-H1648","SIDM00746","Non-Small Cell Lung Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,1.013916,0.745752,0.10281,-1.2568,NA,"Non-MAPK"
"GDSC2",343,15954424,"NCI-H1650","SIDM00745","Non-Small Cell Lung Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,4.27094,0.920609,0.089036,1.033404,NA,"Non-MAPK"
"GDSC2",343,15954705,"NCI-H1693","SIDM00742","Non-Small Cell Lung Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,3.68279,0.874147,0.062417,0.619842,NA,"Non-MAPK"
