"Model_ID","SANGER_MODEL_ID","COSMIC_ID","TCGA_DESC","DRUG_NAME","LN_IC50","Z_SCORE","MGMT","ABCB1","MGMT_group","ABCB1_group","combo_group"
"ACH-000040","SIDM01193",687588,"GBM","Temozolomide",6.651852,1.420157,1.70654823387033,0.399410657029309,"High","Low","High_Low"
"ACH-000067","SIDM00666",1240150,"LGG","Temozolomide",5.826803,0.366867,1.39903433899334,2.32032292536214,"High","High","High_High"
"ACH-000075","SIDM01189",687590,"GBM","Temozolomide",6.669753,1.44301,0.0481427004502096,0.100436787933634,"Low","Low","Low_Low"
"ACH-000098","SIDM01055",906868,"LGG","Temozolomide",5.715627,0.224934,0.503513605179784,0.414797992022404,"Low","Low","Low_Low"
"ACH-000099","SIDM00395",753620,"NB","Temozolomide",6.055125,0.658352,4.42095392611305,6.65387832519625,"High","High","High_High"
"ACH-000120","SIDM00910",906820,"NB","Temozolomide",4.565917,-1.24283,0.0594231186863928,3.14043675216161,"Low","High","Low_High"
"ACH-000136","SIDM00286",910567,"NB","Temozolomide",3.658562,-2.401196,2.94139181608776,2.34999646013424,"High","High","High_High"
"ACH-000137","SIDM00998",687562,"GBM","Temozolomide",3.877865,-2.121224,0.105057156372627,0.480565005982918,"Low","Low","Low_Low"
"ACH-000149","SIDM01098",717431,"NB","Temozolomide",5.583666,0.056468,2.80882160322773,5.66815033431866,"High","High","High_High"
"ACH-000200","SIDM00575",908449,"LGG","Temozolomide",5.791505,0.321804,0.0729948167703609,3.40097504367309,"Low","High","Low_High"
"ACH-000227","SIDM00556",907314,"NB","Temozolomide",6.457928,1.172586,2.96079710716611,0.18257280945464,"High","Low","High_Low"
"ACH-000231","SIDM00613",907271,"LGG","Temozolomide",5.960692,0.537794,3.92378622218894,0.398090924617641,"High","Low","High_Low"
"ACH-000232","SIDM00111",905983,"GBM","Temozolomide",4.288806,-1.596601,0.0552928489014965,0.327796568034029,"Low","Low","Low_Low"
"ACH-000244","SIDM00947",906839,"GBM","Temozolomide",6.326676,1.005024,0.0493394114818006,1.35110814150941,"Low","High","Low_High"
"ACH-000259","SIDM01009",753618,"NB","Temozolomide",5.54818,0.011165,3.70476132409119,5.48546547026987,"High","High","High_High"
"ACH-000260","SIDM01101",724828,"NB","Temozolomide",6.234874,0.887826,4.01578299724093,2.19863558739645,"High","High","High_High"
"ACH-000269","SIDM00492",910933,"GBM","Temozolomide",5.559881,0.026103,0.054251136630158,2.39035127037233,"Low","High","Low_High"
"ACH-000273","SIDM00083",905984,"LGG","Temozolomide",4.512907,-1.310504,0.15605871843427,0.092553859851552,"Low","Low","Low_Low"
"ACH-000323","SIDM00982",687561,"GBM","Temozolomide",4.817654,-0.921453,0.0250840908338544,0.00775954948663509,"Low","Low","Low_Low"
"ACH-000341","SIDM01099",688087,"NB","Temozolomide",5.420914,-0.151308,4.12698937052956,6.78031009904338,"High","High","High_High"
"ACH-000366","SIDM01100",688086,"NB","Temozolomide",6.193704,0.835266,2.36620749356997,4.78403801560264,"High","High","High_High"
"ACH-000376","SIDM00084",905985,"GBM","Temozolomide",5.208727,-0.422193,0.930458042611191,3.38289408245468,"High","High","High_High"
"ACH-000389","SIDM00852",907042,"LGG","Temozolomide",5.362781,-0.225522,2.21819219245811,4.56349374376253,"High","High","High_High"
"ACH-000437","SIDM01155",909745,"GBM","Temozolomide",5.148131,-0.499553,0.131420907646847,0.252625168871394,"Low","Low","Low_Low"
"ACH-000464","SIDM00212",910943,"GBM","Temozolomide",6.473192,1.192072,0.0226746083477031,0.371238785773733,"Low","Low","Low_Low"
"ACH-000469","SIDM00316",909905,"GBM","Temozolomide",5.835119,0.377483,3.96407512170942,0.251063407236134,"High","Low","High_Low"
"ACH-000504","SIDM00095",905982,"GBM","Temozolomide",6.525782,1.25921,0.0668923972358384,0.357181501110659,"Low","Low","Low_Low"
"ACH-000558","SIDM00799",687563,"GBM","Temozolomide",4.999833,-0.688876,0.112829552534056,0.240598870960392,"Low","Low","Low_Low"
"ACH-000570","SIDM00315",687592,"GBM","Temozolomide",5.881361,0.436517,4.03324678374794,0.491934141454637,"High","Low","High_Low"
"ACH-000571","SIDM01171",687586,"GBM","Temozolomide",5.294475,-0.312725,3.25061752854904,0.111775177193586,"High","Low","High_Low"
